created_at,field1,field2,field3,field4
2021-12-07T01:26:27+00:00,1558,321,344,276
2021-12-07T01:26:50+00:00,1556,321,345,269
2021-12-07T01:27:12+00:00,1554,322,346,270
2021-12-07T01:27:34+00:00,1555,320,345,268
2021-12-07T01:27:57+00:00,1555,321,345,268
2021-12-07T01:28:19+00:00,1558,331,356,277
2021-12-07T01:28:41+00:00,1556,321,353,275
2021-12-07T01:29:04+00:00,1555,320,345,268
2021-12-07T01:29:26+00:00,1557,321,346,277
2021-12-07T01:29:48+00:00,1557,320,345,277
2021-12-07T01:30:11+00:00,1552,319,344,268
2021-12-07T01:30:33+00:00,1555,320,344,267
2021-12-07T01:30:56+00:00,1555,320,344,268
2021-12-07T01:31:18+00:00,1555,320,344,267
2021-12-07T01:31:40+00:00,1562,319,344,274
2021-12-07T01:32:03+00:00,1557,319,343,267
2021-12-07T01:32:25+00:00,1561,328,344,275
2021-12-07T01:32:47+00:00,1556,332,359,268
2021-12-07T01:33:10+00:00,1555,319,345,276
